,social_p,social_r,ILO_total,ILO_social,year,share1,PV_EST,PV_PER_RNK,PV_PER_RNK_UPPER,PV_STD_ERR,GE_EST,GE_PER_RNK,GE_PER_RNK_UPPER,GE_STD_ERR,RQ_EST,RQ_PER_RNK,RQ_PER_RNK_UPPER,RQ_STD_ERR,remittance_usd,remittance_gdp,gdp,incomeLevel,region,is_eca,gini,FSR,social_p_est1,social_p_est2,social_p_est2_nofsr,social_p_est2_fsr,social_p_est3,social_p_est4,social_p_est,social_r_est
Germany,0.64378774,0.383320503,25.89,19.05,2011,0.0829,0.934858918,79.12621307,93.71981049,0.1997049,1.731765389,94.71154022,99.0430603,0.227214962,1.695086598,94.2307663,99.52153015,0.229259074,17629122986,0.45573412,3.76E+12,High income: OECD,Europe & Central Asia (all income levels),TRUE,30.13,FALSE,0.628947654,0.573753938,0.582020078,,0.572092822,0.622073112,0.572092822,0.181389342
Ghana,,,5.39,2.37,2010,,-0.129906073,40.77669907,55.55555725,0.204798803,-0.273304075,44.23077011,56.45933151,0.181937411,-0.03740783,50.96154022,61.7224884,0.172010317,2007831480,5.199408547,1.09E+11,Lower middle income,Sub-Saharan Africa (all income levels),FALSE,42.77,FALSE,0.243789866,0.218626345,0.214943648,,0.217819145,0.199030457,0.217819145,0.115620529
Greece,0.38459209,0.496522668,24.41,18.87,2011,0.0645,0.024039,46.60194016,58.93719864,0.1997049,0.395407915,68.75,74.16268158,0.227214962,0.344998688,64.90384674,74.16268158,0.229259074,734711614.7,0.311881354,2.92E+11,High income: OECD,Europe & Central Asia (all income levels),TRUE,36.68,FALSE,0.473946626,0.399260547,0.410787224,,0.403472164,0.491957658,0.403472164,0.152566097
Greenland,,,,,,,1.937593579,100,100,0.360785365,0.89498651,75.96154022,94.25836945,0.482944638,1.397719383,89.90384674,99.52153015,0.432661712,,,,High income: nonOECD,Europe & Central Asia (all income levels),TRUE,,FALSE,,,,,,,,
Grenada,,,4.27,1.64,2010,,0.747247875,71.8446579,90.82125854,0.259716004,-0.117976956,49.03845978,70.81340027,0.351028442,0.189151749,59.13461685,74.16268158,0.333778769,30816800.48,3.379762269,1321385460,Upper middle income,Latin America & Caribbean (all income levels),FALSE,,FALSE,0.220756903,0.218309585,0.215792155,,0.219349644,0.233057302,0.219349644,0.11495247
Guam,,,,,,,0.804228425,74.75727844,93.71981049,0.277110815,0.417159289,70.19230652,85.64593506,0.459674478,0.175328106,58.17307663,81.33971405,0.530168593,,,,High income: nonOECD,East Asia & Pacific (all income levels),FALSE,,FALSE,,,,,,,,
Guatemala,0.219252879,0.10471865,4.39,3.14,2011,0.0387,-0.641794622,24.27184486,33.33333206,0.204798803,-0.714730203,24.51922989,40.19138718,0.202521428,-0.186572611,47.59615326,55.98086166,0.187134713,5836627286,9.921666663,1.19E+11,Lower middle income,Latin America & Caribbean (all income levels),FALSE,52.35,FALSE,0.241255518,0.181724342,0.172320427,,0.176038482,0.19232423,0.176038482,0.109194861
Guinea,,,2.47,0.46,2010,,-0.930906594,15.53398037,25.60386467,0.20912455,-1.213885784,11.05769253,17.70335007,0.181937411,-1.097531557,12.5,24.4019146,0.179108515,94777656.64,1.430807419,14991877564,Low income,Sub-Saharan Africa (all income levels),FALSE,33.73,FALSE,-0.024176259,0.011202251,0.009200432,,0.019252445,0.077147848,0.019252445,0.077568162
Guinea-Bissau,,,5.44,3.13,2010,,-0.742179811,21.35922241,32.36714935,0.246308759,-1.551520824,4.807692528,12.44019127,0.228713945,-1.27336657,8.17307663,19.61722565,0.219782591,46753486.74,4.573040648,2494670993,Low income,Sub-Saharan Africa (all income levels),FALSE,50.66,FALSE,0.117719497,0.064962819,0.066402316,,0.070587612,0.080237302,0.070587612,0.091176507
Guyana,,,8.18,3.7,2010,,-0.157108918,39.80582428,54.58937073,0.2142739,-0.22456336,44.71154022,59.33014297,0.217138514,-0.532083571,31.73077011,47.8468895,0.220634446,329658104.9,10.64530213,5234095779,Lower middle income,Latin America & Caribbean (all income levels),FALSE,44.55,FALSE,0.315313719,0.254501141,0.243443351,,0.245746414,0.247307255,0.245746414,0.121514784
Haiti,,,3.27,1.06,2013,,-0.611463904,25.24271774,34.78260803,0.20912455,-2.030883789,0.961538434,1.91387558,0.202749968,-1.037548661,14.42307663,26.79425812,0.196381405,1977033926,22.69051553,18308620060,Low income,Latin America & Caribbean (all income levels),FALSE,60.79,FALSE,0.061716275,-0.023672501,-0.055894077,,-0.042707751,0.033188329,-0.042707751,0.069093117
Honduras,0.257974193,0.134771514,4.39,0.94,2010,0.0261,-0.514824092,28.64077759,39.13043594,0.204798803,-0.795155942,20.67307663,36.84210587,0.202521428,-0.376891434,38.94230652,50.71770477,0.187134713,3369514367,17.3817883,39081348855,Lower middle income,Latin America & Caribbean (all income levels),FALSE,53.67,FALSE,0.166326112,0.123522573,0.096850042,,0.106907719,0.154959338,0.106907719,0.094343148
"Hong Kong SAR, China",,,5.17,2.25,2012,,1.127131701,89.80582428,99.03381348,0.223773897,1.839606404,98.07691956,100,0.227214962,2.053678989,99.5192337,100,0.229259074,371933202.8,0.127857887,3.99E+11,High income: nonOECD,East Asia & Pacific (all income levels),FALSE,,FALSE,0.456188576,0.483574196,0.483317618,,0.481148074,0.387581847,0.481148074,0.160464181
Hungary,0.912333,0.525706,22.87,17.74,2010,0.0825,0.700722516,69.41747284,85.50724792,0.1997049,0.532797515,72.11538696,75.5980835,0.219925269,0.765994787,74.5192337,81.8181839,0.190196574,4656215657,3.365614554,2.47E+11,High income: OECD,Europe & Central Asia (all income levels),TRUE,30.55,TRUE,0.499933228,0.643479784,,0.530305581,0.649100842,0.526635724,0.649100842,0.259079751
Iceland,,,18.06,10.94,2011,,1.241324067,93.20388031,99.51690674,0.203709543,1.495987654,90.86538696,98.08612061,0.227214962,1.210985541,87.9807663,91.86602783,0.246931031,205685570.6,1.207351454,14402788178,High income: OECD,Europe & Central Asia (all income levels),TRUE,26.94,FALSE,0.558052439,0.517243162,0.522501526,,0.515287621,0.696162597,0.515287621,0.170287272
India,,,2.39,1.42,2012,,-0.961226344,13.5922327,24.63768196,0.1997049,-0.204377502,45.19230652,58.85167313,0.193689078,-0.449891329,34.61538315,48.32535934,0.18065168,70388642797,3.436077305,7.38E+12,Lower middle income,South Asia,FALSE,33.9,FALSE,0.198749761,0.200158404,0.197149635,,0.201430314,0.138829299,0.201430314,0.111528359
Indonesia,,,2.63,1.6,2010,,-0.368742824,31.06796074,44.44444275,0.1997049,-0.010939578,54.80769348,64.59329987,0.193689078,-0.101634592,49.03845978,59.33014297,0.18065168,8551164469,0.962385687,2.68E+12,Lower middle income,East Asia & Pacific (all income levels),FALSE,35.57,FALSE,0.218646078,0.227524549,0.228701051,,0.231610208,0.193655533,0.231610208,0.116984159
"Iran, Islamic Rep.",,,12.53,10.69,2010,,-0.907734275,16.9902916,26.08695602,0.204798803,-0.410850316,37.98077011,53.11004639,0.233566016,-1.462466478,4.807692528,12.44019127,0.217131302,1329781000,0.224610827,1.35E+12,Upper middle income,Middle East & North Africa (all income levels),FALSE,37.35,FALSE,0.332110806,0.266666731,0.277837656,,0.274215874,0.194002636,0.274215874,0.129055477
Iraq,,,11.65,5.3,2010,,-2.472112179,2.427184582,5.314009666,0.218231544,-1.132724166,13.94230747,22.00956917,0.221629903,-1.247330189,9.134614944,19.61722565,0.211783469,271000000,0.121252796,5.24E+11,Upper middle income,Middle East & North Africa (all income levels),FALSE,29.54,FALSE,0.188430578,0.138550796,0.148648893,,0.149054036,0.112816983,0.149054036,0.105907568
Ireland,0.78696066,0.483332488,23.72,17.34,2010,0.0762,1.066735268,86.40776825,98.06763458,0.203709543,1.600006104,92.30769348,98.56459045,0.227214962,1.754882455,95.19230652,99.52153015,0.246931031,719276879.4,0.286777454,2.28E+11,High income: OECD,Europe & Central Asia (all income levels),TRUE,32.52,FALSE,0.604881066,0.551803298,0.560264999,,0.550911693,0.640203911,0.550911693,0.177534327
Isle of Man,,,,,,,,,,,,,,,,,,,,,,High income: nonOECD,Europe & Central Asia (all income levels),TRUE,,FALSE,,,,,,,,
Israel,,,16.02,11.69,2011,,-0.993711591,13.10679626,23.67149734,0.203709543,1.158603072,85.57691956,90.90908813,0.227214962,1.208690166,87.5,91.86602783,0.246931031,858900000,0.280984856,2.77E+11,High income: OECD,Middle East & North Africa (all income levels),FALSE,42.78,FALSE,0.520299412,0.475234036,0.483087215,,0.476078183,0.346409023,0.476078183,0.163757949
Italy,0.43236375,0.413812555,27.5,20.23,2011,0.0607,0.498162657,64.07766724,76.32849884,0.1997049,0.376326591,66.82691956,74.16268158,0.227214962,0.661409616,72.59615326,81.33971405,0.229259074,9981867201,0.466189403,2.16E+12,High income: OECD,Europe & Central Asia (all income levels),TRUE,35.16,FALSE,0.478516942,0.400382009,0.411981897,,0.404476112,0.461537496,0.404476112,0.152913244
Jamaica,0.266518589,0.147431475,4.42,1.61,2011,0.0535,0.088097163,50.48543549,60.38647461,0.204798803,0.137198761,60.09615326,70.81340027,0.202749968,0.162900507,56.73077011,66.98564911,0.187134713,2268785014,16.33234688,24152366189,Upper middle income,Latin America & Caribbean (all income levels),FALSE,45.46,FALSE,0.314276711,0.269403929,0.244574084,,0.250555552,0.258159327,0.250555552,0.120235625
Japan,,,23.56,16.75,2011,,1.02044642,84.46601868,97.58454132,0.1997049,1.818982601,97.11538696,99.52153015,0.227214962,1.136756182,84.13461304,91.86602783,0.229259074,3733454988,0.081136292,4.66E+12,High income: OECD,East Asia & Pacific (all income levels),FALSE,32.11,FALSE,0.626008168,0.578306647,0.58646781,,0.576772145,0.366922915,0.576772145,0.181863731
"Jersey, Channel Islands",,,,,,,1.480872512,98.54368591,100,0.477736473,1.325222135,87.5,99.0430603,0.482944638,1.18312192,85.57691956,98.08612061,0.432661712,,,,,,,,FALSE,,,,,,,,
Jordan,0.247541251,0.202549227,12.11,8.8,2011,0.0823,-0.559308171,26.21359253,36.71497726,0.1997049,0.134662643,59.61538315,70.81340027,0.193689078,0.079850361,54.80769348,65.07176971,0.169066384,3737183099,10.43121345,79616417860,Upper middle income,Middle East & North Africa (all income levels),FALSE,33.66,FALSE,0.429894569,0.342989289,0.335046004,,0.333339635,0.251903125,0.333339635,0.138662285
Kazakhstan,,,6.38,4.11,2011,,0.053453516,47.57281494,59.42028809,0.1997049,-0.015244716,54.32692337,64.59329987,0.203877479,-0.267770767,44.71154022,53.58851624,0.173914686,228533438.2,0.104893321,4.19E+11,Upper middle income,Europe & Central Asia (all income levels),TRUE,26.35,TRUE,0.294827424,0.496447589,,0.806833209,0.50858909,0.52733027,0.50858909,0.231389644
Kenya,0.054868519,0.071834484,3.26,0.93,2013,0.0484,-1.268574476,8.737864494,15.45893764,0.204798803,-0.303954393,43.26922989,55.50239182,0.181937411,-0.336249858,42.30769348,50.71770477,0.172010317,1440846022,2.36450369,1.33E+11,Lower middle income,Sub-Saharan Africa (all income levels),FALSE,48.51,FALSE,0.145519514,0.165098908,0.162361113,,0.168193168,0.175673551,0.168193168,0.104783293
Kiribati,,,10.1,1.58,2011,,0.716209054,70.38835144,93.23671722,0.320725858,-0.575137138,30.28846169,49.76076508,0.292693824,-0.961299002,17.30769157,31.57894707,0.258551925,15987395.35,9.587252109,199843759,Lower middle income,East Asia & Pacific (all income levels),FALSE,37.61,FALSE,0.196595773,0.166045233,0.154043753,,0.160000818,0.136932488,0.160000818,0.104722001
"Korea, Dem. People’s Rep.",,,,,,,,,,,,,,,,,,,,,,Low income,East Asia & Pacific (all income levels),FALSE,,FALSE,,,,,,,,
"Korea, Dem. Rep.",,,,,,,-1.093063116,11.1650486,21.73913002,0.22410281,-1.649951577,2.403846264,12.44019127,0.28868112,-2.202356339,0,3.349282265,0.243814379,,,,,,,,FALSE,,,,,,,,
"Korea, Rep.",,,9.14,5.13,2011,,0.186208308,53.88349533,64.25120544,0.1997049,1.176751852,86.53845978,90.90908813,0.203941852,1.108814478,83.65384674,89.95215607,0.186613619,6481400000,0.459548935,1.68E+12,High income: OECD,East Asia & Pacific (all income levels),FALSE,,FALSE,0.45254765,0.437858399,0.441969302,,0.4380643,0.350349687,0.4380643,0.155186288
Kosovo,,,6.1,3.8,2009,,-0.335778713,32.52427292,46.85990524,0.234058693,-0.321468294,42.78845978,59.33014297,0.274022669,-0.15308325,48.07692337,58.37320709,0.199928746,1192347306,16.14168488,16615557798,Lower middle income,Europe & Central Asia (all income levels),TRUE,26.71,TRUE,0.334400155,0.476084009,,0.762718367,0.466219507,0.493728732,0.466219507,0.223955236
Kuwait,,,11.44,9.21,2011,,0.136163577,52.42718506,62.31884003,0.20912455,-0.147680923,47.59615326,62.20095825,0.233566016,-0.130660996,48.55769348,61.7224884,0.23196356,3839651.523,0.002346797,2.75E+11,High income: nonOECD,Middle East & North Africa (all income levels),FALSE,,FALSE,0.348402025,0.293338909,0.303663346,,0.300039899,0.22353084,0.300039899,0.133089868
Kyrgyz Republic,0.72175993,0.462196103,9.58,5.75,2012,0.0768,-0.784898162,19.90291214,29.95169067,0.2177082,-0.836270928,18.75,35.40670013,0.219038635,-0.423714966,36.05769348,48.80382919,0.1787844,2242827292,30.29041438,19382497746,Lower middle income,Europe & Central Asia (all income levels),TRUE,27.37,TRUE,0.382741741,0.449771362,,0.572735004,0.421706471,0.457774279,0.421706471,0.217398301
Lao PDR,0.037284318,0.133475822,1.74,0.52,2005,0.0762,0.459761083,61.16504669,75.84541321,0.217144623,-0.387987822,39.42307663,53.11004639,0.210097477,-0.848449409,21.15384674,32.05741501,0.198304936,59760122.88,0.498122974,35592859177,Lower middle income,East Asia & Pacific (all income levels),FALSE,37.89,FALSE,0.076454312,0.12322888,0.121401909,,0.129175157,0.13947192,0.129175157,0.096651719
Latvia,0.616317,0.230291,14.91,12.27,2011,0.0624,0.554709971,65.04854584,78.74396515,0.203709543,0.974380195,77.88461304,87.55980682,0.219925269,1.169834256,84.61538696,91.38755798,0.19992882,1774393747,5.671379726,46949430385,High income: nonOECD,Europe & Central Asia (all income levels),TRUE,35.48,TRUE,0.530689217,0.68636183,,0.679267429,0.686628326,0.636795689,0.686628326,0.264558546
Lebanon,,,1.12,0.36,2011,,-1.721099973,7.281553268,8.695652008,0.204798803,-0.375053018,40.86538315,53.11004639,0.202749968,-0.220459551,46.63461685,55.02392197,0.187134713,7404023333,16.19040081,79396692179,Upper middle income,Middle East & North Africa (all income levels),FALSE,,FALSE,0.126077191,0.129830479,0.100223152,,0.11281113,0.130416763,0.11281113,0.092928578
Lesotho,,,8.16,0.18,2010,,-0.274988145,33.98058319,50.72463608,0.222926274,-0.512667894,33.17307663,45.45454407,0.197000131,-0.431536108,35.57692337,48.80382919,0.187360644,380200830.7,17.43000699,5564724726,Lower middle income,Sub-Saharan Africa (all income levels),FALSE,54.18,FALSE,0.0570367,0.08007042,0.045842717,,0.061581267,0.142618659,0.061581267,0.082429098
Liberia,0.045037934,0.125730707,11.47,9.87,2005,0.0644,-0.625768065,24.75728226,34.29951859,0.213329136,-1.371215105,7.692307472,16.26794243,0.195208579,-0.836015761,22.59615326,31.10047913,0.173679471,495200000,24.60009935,3703596983,Low income,Sub-Saharan Africa (all income levels),FALSE,36.48,FALSE,0.338812398,0.173252756,0.145545637,,0.14946672,0.129228685,0.14946672,0.107547689
Libya,0,0,6.55,4.44,2010,,-2.324058294,4.368932247,6.280193329,0.20912455,-1.643072605,2.884615421,8.612440109,0.203687206,-2.190573692,0.480769217,2.87081337,0.20486252,16000000,0.029111056,97622066834,Upper middle income,Middle East & North Africa (all income levels),FALSE,,FALSE,0.114151467,0.063436992,0.074126076,,0.076173386,0.055069867,0.076173386,0.093013095
Liechtenstein,,,,,,,1.544065595,99.51456451,100,0.275764942,1.67956984,94.2307663,100,0.351513624,1.430769086,90.38461304,98.56459045,0.301759392,,,,High income: nonOECD,Europe & Central Asia (all income levels),TRUE,,FALSE,,,,,,,,
Lithuania,0.810897,0.314705,16.26,12.2,2011,0.0703,0.784963548,72.8155365,88.8888855,0.203709543,0.994412303,78.84615326,87.55980682,0.219925269,1.199615359,87.0192337,91.86602783,0.19992882,2112631128,4.369098474,81185173649,High income: nonOECD,Europe & Central Asia (all income levels),TRUE,35.15,TRUE,0.525882068,0.686799492,,0.68506017,0.688869074,0.639264284,0.688869074,0.264926809
Luxembourg,,,23.02,16.53,2010,,1.389983535,98.05825043,99.51690674,0.208460122,1.655482531,93.2692337,99.0430603,0.238753393,1.647510648,92.78845978,99.52153015,0.255789399,1783869017,2.74974571,54774901731,High income: OECD,Europe & Central Asia (all income levels),TRUE,34.79,FALSE,0.619655194,0.560270966,0.564290871,,0.55555177,0.658586323,0.55555177,0.178206057
"Macao SAR, China",,,5.12,3.77,2011,,1.213004708,91.74757385,99.51690674,0.275764942,1.451642752,89.42308044,99.0430603,0.351513624,1.682615519,93.75,99.52153015,0.301759392,50133016.24,0.090326937,80773460450,High income: nonOECD,East Asia & Pacific (all income levels),FALSE,,FALSE,0.45578044,0.4581203,0.460946698,,0.457583308,0.366142061,0.457583308,0.157742419
"Macedonia, FYR",,,17.56,13.48,2010,,0.249049932,56.79611588,66.18357849,0.2177082,0.15057379,60.57692337,72.24880219,0.240523085,0.471437484,67.30769348,75.5980835,0.188010693,366518601,3.236719121,28068618346,Upper middle income,Europe & Central Asia (all income levels),TRUE,44.05,TRUE,0.431800217,0.580240517,,0.541679416,0.587568917,0.544837777,0.587568917,0.24787728
Madagascar,0.075547646,0.105416143,2.39,0.31,2010,0.065,-0.544494629,26.69902992,37.68115997,0.204798803,-1.277683258,9.134614944,16.26794243,0.181937411,-0.724304795,26.44230843,35.40670013,0.172010317,431979679.1,4.077916257,33928262552,Low income,Sub-Saharan Africa (all income levels),FALSE,40.63,FALSE,-0.051951534,-0.012418472,-0.020329473,,-0.00808451,0.068280706,-0.00808451,0.071902939
Malawi,0.031892093,0.039628941,5.91,1.4,2007,0.0541,0.118758194,51.45631027,61.35265732,0.209627822,-0.687385917,25,40.66985703,0.187701508,-0.693626881,27.40384674,36.36363602,0.174923182,38487244.44,0.903873664,13716940874,Low income,Sub-Saharan Africa (all income levels),FALSE,46.12,FALSE,0.129202795,0.132968144,0.135239436,,0.139958524,0.144386521,0.139958524,0.100993582
Malaysia,0.14714225,0.057730817,2.99,1,2012,0.0454,0.339788556,58.73786545,68.59903717,0.1997049,1.139563799,83.65384674,89.95215607,0.203941852,0.836593986,75.96154022,84.21052551,0.186613619,1573465082,0.465379265,7.67E+11,Upper middle income,East Asia & Pacific (all income levels),FALSE,46.26,FALSE,0.307864649,0.353628811,0.351060827,,0.353384203,0.299879088,0.353384203,0.136595877
Maldives,,,6.22,5.86,2012,,0.883625388,78.64077759,96.13526917,0.259716004,-0.366805881,41.82692337,60.76554871,0.322811842,-0.363737047,39.90384674,55.02392197,0.277004659,3470026.015,0.113331798,5024399097,Upper middle income,South Asia,FALSE,36.78,FALSE,0.284968435,0.243041848,0.251814699,,0.250345205,0.167840849,0.250345205,0.123460976
Mali,0.024631706,0.052997133,4.88,2.07,2010,0.0797,-1.738054872,6.796116352,8.695652008,0.20912455,-1.116365552,14.42307663,20.57416344,0.181937411,-0.55706656,30.76922989,45.45454407,0.179108515,923395698.6,7.67116461,27324200186,Low income,Sub-Saharan Africa (all income levels),FALSE,33.04,FALSE,0.14791323,0.105982422,0.099538783,,0.105113436,0.110803363,0.105113436,0.096029497
Malta,,,18.32,14.32,2011,,1.114998698,88.83495331,98.06763458,0.20912455,1.026541471,80.7692337,88.99521637,0.242246523,1.104150295,83.17308044,91.86602783,0.26431486,196171550.7,2.083087217,12500391471,High income: nonOECD,Middle East & North Africa (all income levels),FALSE,,FALSE,0.531719462,0.470525996,0.476507277,,0.469389058,0.311772788,0.469389058,0.163127746
Marshall Islands,,,24.01,9.64,2010,,1.095112085,88.1516571,100,0.597038388,-1.549864769,5.288461685,19.61722565,0.436253697,-0.959069669,17.78846169,40.19138718,0.3677935,26081549.3,13.96852004,201154463.1,Upper middle income,East Asia & Pacific (all income levels),FALSE,,FALSE,0.262260662,0.133439578,0.123816152,,0.125833291,0.090492021,0.125833291,0.103451736
Martinique,,,,,,,0.957360625,81.55339813,98.06763458,0.277110815,0.669370353,73.07691956,88.99521637,0.459674478,1.194253206,86.53845978,99.52153015,0.530168593,,,,,,,,FALSE,,,,,,,,
Mauritania,,,4.87,0.84,2010,,-0.581190169,25.72815514,36.71497726,0.217144623,-1.050526857,15.86538506,23.92344475,0.190753147,-0.696470976,26.92307663,37.79904175,0.183794245,2207179.546,0.160508662,15528207926,Lower middle income,Sub-Saharan Africa (all income levels),FALSE,37.48,FALSE,0.039850772,0.059848761,0.062083904,,0.069270758,0.09958799,0.069270758,0.08763107
Mauritius,,,9.12,6.73,2011,,0.737529814,71.35922241,87.43961334,0.217144623,1.130957842,82.69230652,88.99521637,0.190366924,1.000709295,80.7692337,88.99521637,0.183794245,837409.8579,0.006630149,23434983928,Upper middle income,Sub-Saharan Africa (all income levels),FALSE,35.84,FALSE,0.468305136,0.444427066,0.450521302,,0.445584123,0.376178549,0.445584123,0.157155913
Mexico,0.534022946,0.254768906,7.72,4.97,2011,0.0486,-0.757942677,20.87378693,29.95169067,0.1997049,0.188953564,61.05769348,71.77033234,0.193489805,0.429281652,66.82691956,74.16268158,0.18065168,24462290757,1.889432667,2.17E+12,Upper middle income,Latin America & Caribbean (all income levels),FALSE,48.07,FALSE,0.343660894,0.309909515,0.313760627,,0.312217654,0.299890353,0.312217654,0.133612537
"Micronesia, Fed. Sts.",,,,,,,0.957360625,81.55339813,98.06763458,0.277110815,-0.520029902,32.69230652,56.45933151,0.332227975,-1.05265522,13.46153831,30.14354134,0.277004659,22046599.48,6.931324029,346520937.6,Lower middle income,East Asia & Pacific (all income levels),FALSE,61.18,FALSE,,,,,,,,
Moldova,0.465878184,0.337565335,18.3,13.1,2013,0.0849,-0.10110271,42.23300934,56.52173996,0.209627822,-0.38179031,39.90384674,53.11004639,0.210749894,0.024789315,53.84615326,63.63636398,0.17737098,2083610000,26.16803774,17720261361,Lower middle income,Europe & Central Asia (all income levels),TRUE,28.53,TRUE,0.484711387,0.542888612,,0.445018378,0.519181568,0.494891131,0.519181568,0.236124995
Monaco,,,,,,,0.825173736,76.21359253,99.51690674,0.484838486,,,,,,,,,,,,High income: nonOECD,Europe & Central Asia (all income levels),TRUE,,FALSE,,,,,,,,
Mongolia,0.324513195,0.186589997,8.87,5.75,2012,0.071,0.865580678,77.1844635,91.30434418,0.204798803,-0.414864123,37.5,52.1531105,0.210011065,-0.2525765,45.67307663,54.54545593,0.176654905,255121827,2.123194148,34760320859,Upper middle income,East Asia & Pacific (all income levels),FALSE,33.75,FALSE,0.288033036,0.238787712,0.244232549,,0.243370801,0.195268662,0.243370801,0.122221958
Montenegro,,,20.05,13.81,2011,,0.235226542,56.31068039,66.18357849,0.222926274,0.275488466,63.46154022,73.20574188,0.240523085,0.12086837,55.76922989,66.98564911,0.19739449,431270097.3,9.400104235,9361178267,Upper middle income,Europe & Central Asia (all income levels),TRUE,33.19,TRUE,0.479533722,0.606608553,,0.546406598,0.604470485,0.554231484,0.604470485,0.250825009
Morocco,,,6.57,4.51,2010,,-0.394558996,30.09708786,43.9613533,0.204798803,-0.138035595,48.07692337,60.76554871,0.181937411,-0.011314413,52.40384674,61.7224884,0.161920503,6962235773,6.328785089,2.58E+11,Lower middle income,Middle East & North Africa (all income levels),FALSE,40.72,FALSE,0.320323902,0.269104183,0.265881694,,0.266320133,0.206223666,0.266320133,0.125528374
Mozambique,,,5.32,2.02,2010,,-0.350936025,32.03883362,45.89371872,0.20912455,-0.73005861,24.03846169,36.84210587,0.181937411,-0.393457264,37.98077011,49.28229523,0.179108515,155464965.9,0.975407175,30736659575,Low income,Sub-Saharan Africa (all income levels),FALSE,45.58,FALSE,0.15615621,0.145324778,0.149088634,,0.152526786,0.148781285,0.152526786,0.104065656
Myanmar,,,0.94,0.7,2010,,-1.063364863,11.65048504,21.73913002,0.204798803,-1.279078007,8.653845787,16.74641228,0.198925063,-1.390419722,6.25,12.91866016,0.18372862,3102819757,4.823282904,,Lower middle income,East Asia & Pacific (all income levels),FALSE,,FALSE,0.021634647,0.028034534,0.022245307,,0.031591345,0.053235665,0.031591345,0.080735431
Namibia,,,7.4,4.6,2011,,0.617165864,66.50485229,81.64250946,0.20912455,0.102526806,58.65384674,69.37799072,0.190354973,0.032662082,54.32692337,64.11483002,0.184914023,10192854.63,0.078435287,23921708645,Upper middle income,Sub-Saharan Africa (all income levels),FALSE,60.97,FALSE,0.317891069,0.292282479,0.299039199,,0.297557268,0.260035082,0.297557268,0.130913346
Nauru,,,9.49,1.15,2010,,1.095112085,88.1516571,100,0.597038388,-0.600231349,29.32692337,72.72727203,0.730984092,-1.258715391,8.653845787,49.76076508,0.711705625,,,,,,,,FALSE,,,,,0.141300907,0.177666297,0.141300907,0.100726282
Nepal,0.19572309,0.358936711,2.19,0.66,2013,0.0827,-0.70372504,22.3300972,31.884058,0.212313503,-0.831010878,19.71153831,35.40670013,0.210097477,-0.850234568,20.67307663,31.57894707,0.188796878,5769654336,29.18441467,66892835547,Low income,South Asia,FALSE,32.75,FALSE,0.19179544,0.118816448,0.07103551,,0.085093518,0.064527763,0.085093518,0.089724709
Netherlands,0.4378458,0.331487095,23.42,15.69,2011,0.084,1.045091033,85.92233276,97.58454132,0.1997049,1.829282403,97.59615326,100,0.227214962,1.777557611,95.67308044,99.52153015,0.229259074,1540486763,0.175190824,8.14E+11,High income: OECD,Europe & Central Asia (all income levels),TRUE,27.99,FALSE,0.622053575,0.57660828,0.584318589,,0.574869605,0.68792322,0.574869605,0.18137376
Netherlands Antilles,,,,,,,0.720647991,67.77251434,97.64151001,0.412686259,0.742735982,72.72727203,88.09523773,0.36874947,0.834751308,76.55502319,94.76190186,0.513960481,,,,,,,,FALSE,,,,,,,,
New Caledonia,,,,,,,-0.177889466,40.09434128,68.07511902,0.495703965,,,,,,,,,478847767.8,,,High income: nonOECD,East Asia & Pacific (all income levels),FALSE,,FALSE,,,,,,,,
New Zealand,,,21.2,12.81,2010,,1.493101835,99.02912903,99.51690674,0.1997049,1.928475857,98.55769348,100,0.227214962,1.944887042,99.03845978,100,0.229259074,462266842.2,0.231168259,1.70E+11,High income: OECD,East Asia & Pacific (all income levels),FALSE,,FALSE,0.616309752,0.579744018,0.58629596,,0.577429036,0.42366959,0.577429036,0.181298957
Nicaragua,,,6.95,2.89,2009,,-0.046997372,44.17475891,57.48792267,0.204798803,-0.834599316,19.23077011,33.97129059,0.202521428,-0.37825197,38.46154022,50.71770477,0.187134713,1140200000,9.658094569,29578055571,Lower middle income,Latin America & Caribbean (all income levels),FALSE,45.73,FALSE,0.219025705,0.161721244,0.152689622,,0.156895861,0.177478841,0.156895861,0.105715992
Niger,0.059217096,0.061957771,2.91,0.53,2010,0.0896,-1.26710391,9.223300934,16.42512131,0.218231544,-0.737732291,23.55769157,37.32057571,0.195208579,-0.661142349,28.36538506,40.19138718,0.180995271,156750802.3,1.918920778,17923782017,Low income,Sub-Saharan Africa (all income levels),FALSE,31.45,FALSE,0.045147158,0.080723822,0.07740114,,0.086098179,0.125924031,0.086098179,0.089342544
Nigeria,0.004318495,0.007809464,2.83,1.12,2010,0.0539,-2.105758667,5.339805603,6.76328516,0.204798803,-1.192380905,11.53846169,17.70335007,0.181937411,-0.818926096,23.55769157,31.57894707,0.172010317,20829173623,3.663829535,1.05E+12,Lower middle income,Sub-Saharan Africa (all income levels),FALSE,42.97,FALSE,0.066069204,0.060452044,0.058344011,,0.065496413,0.089710611,0.065496413,0.087712655
